Angels,Wrigley Field,Los Angeles,20457,137,1
Angels,Dodger Stadium,Los Angeles,56000,136,2
Angels,Edison International,Anaheim,45050,136,0
Colt .45s,Colt Stadium,Houston,32601,140,0
Astros,Astrodome,Houston,54816,133,1
Astros,Minute Maid Park,Houston,42000,145,0
Athletics,Shibe Park,Philadelphia,33166,156,0
Athletics,Municipal Stadium,Kansas City,32561,140,1
Athletics,Network Assoc Coliseum,Oakland,45177,133,1
Blue Jays,Exhibition Stadium,Toronto,43737,133,1
Blue Jays,SkyDome,Toronto,50516,133,1
Braves,Fenway Park,Boston,35000,162,2
Braves,Braves Field,Boston,37106,130,0
Braves,County Stadium,Milwaukee,43826,134,0
Braves,Atlanta Fulton County Stadium,Atlanta,52013,134,0
Braves,Turner Field,Atlanta,50062,133,2
Pilots,Sicks' Stadium,Seattle,25420,134,0
Brewers,County Stadium,Milwaukee,53192,134,0
Brewers,Miller Park,Milwaukee,42200,133,1
Cardinals,Robison Field,St. Louis,21000,145,0
Cardinals,Sportsman's Park (III),St. Louis,30500,140,0
Cardinals,Busch Stadium,St. Louis,49676,134,0
Cubs,West Side Grounds,Chicago,16000,186,2
Cubs,Wrigley Field,Chicago,38765,134,0
Devil Rays,Tropicana Field,St. Petersburg,45360,135,2
Diamondbacks,Bank One Ballpark,Phoenix,48700,135,2
Superbas/Dodgers,Washington Park,Brooklyn,18800,133,1
Dodgers,Ebbets Field,Brooklyn,28000,131,0
Dodgers,Roosevelt Stadium,Jersey City,24500,137,0
Dodgers,Memorial Coliseum,Los Angeles,94600,140,0
Dodgers,Dodger Stadium,Los Angeles,56000,131,2
Expos,Parc Jarry,Montreal,28456,139,0
Expos,Le Stade Olympique,Montreal,43739,134,2
Giants,Polo Grounds (IV),New York,16000,144,1
Giants,Hilltop Park,New York,15000,180,2
Giants,Polo Grounds (V),New York,54500,160,0
Giants,Seal Stadium,San Francisco,22900,133,1
Giants,3Com Park,San Francisco,58000,136,2
Giants,Pacific Bell Park,San Francisco,40800,134,2
Naps/Indians,League Park (II),Cleveland,22500,140,0
Indians,Cleveland Stadium,Cleveland,74483,134,2
Indians,Jacobs Field,Cleveland,43345,135,0
Mariners,Kingdome,Seattle,59166,135,0
Mariners,Safeco Field,Seattle,47116,135,0
Marlins,Pro Player Stadium,Miami,47662,134,2
Mets,Polo Grounds (V),New York,56000,161,0
Mets,Shea Stadium,New York,55775,136,2
Browns,Sportsman's Park (III),St. Louis,34450,140,0
Orioles,Memorial Stadium,Baltimore,53371,135,0
Orioles,Oriole Park at Camden Yards,Baltimore,48262,133,1
Padres,Qualcomm Stadium,San Diego,67544,135,0
Phillies,Baker Bowl,Philadelphia,18800,136,0
Phillies,Connie Mack Stadium,Philadelphia,33608,136,2
Phillies,Veterans Stadium,Philadelphia,62382,136,0
Pirates,Exposition Park (III),Pittsburgh,16000,150,0
Pirates,Forbes Field,Pittsburgh,35000,145,0
Pirates,Three Rivers Stadium,Pittsburgh,47971,133,1
Pirates,PNC Park,Pittsburgh,38217,133,1
Senators,Griffith Stadium,Washington,27550,140,1
Senators,RFK Stadium,Washington,43500,136,2
Rangers,Arlington Stadium,Arlington,43521,133,1
Rangers,The Ballpark in Arlington,Arlington,49170,133,1
Pilgrims/Red Sox,Huntington Ave Baseball Grounds,Boston,11500,176,2
Red Sox,Fenway Park,Boston,33925,130,0
Reds,Crosley Field,Cincinnati,29603,129,0
Reds,Cinergy Field,Cincinnati,40008,131,0
Rockies,Mile High Stadium,Denver,76037,141,0
Rockies,Coors Field,Denver,50249,138,1
Royals,Municipal Stadium,Kansas City,35561,140,1
Royals,Kauffman Stadium,Kansas City,40625,136,2
Tigers,Tiger Stadium,Detroit,46945,146,2
Tigers,Comerica Park,Detroit,40637,140,2
Senators,Griffith Stadium,Washington,28669,140,1
Twins,Metropolitan Stadium,Minneapolis,45919,134,0
Twins,Humphrey Metrodome,Minneapolis,55883,136,0
White Sox,Comiskey Park (I),Chicago,43951,136,1
White Sox,Comiskey Park (II),Chicago,44321,133,1
Highlanders,Hilltop Park,New York,15000,180,2
Yankees,Polo Grounds (V),New York,38000,144,1
Yankees,Yankee Stadium (I),New York,67000,153,2
Yankees,Shea Stadium,New York,55600,136,2
Yankees,Yankee Stadium (II),New York,57545,136,0